[Header]
Data File Name	C:\GCMSsolution\Data\Betty_Hong\181026\181026_mango_N3_split2.qgd
Output Date	10/26/2018
Output Time	7:44:16 PM

[File Information]
Type	Data File
Generated	10/26/2018 5:23:39 PM
Generated by	Admin
Modified	10/26/2018 5:40:26 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	10/26/2018 5:24:26 PM
Type	Unknown
Level	1
Sample Name	181026_mango_N3_split2
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCMSsolution\Data\Betty_Hong\181026\181026_mango_N3_split2.qgd
Method File	C:\GCMSsolution\Data\Betty_Hong\SPME_Headspace_Split2_180717.qgm
Batch File	
Report Format File	
Tuning File	C:\GCMSsolution\System\Tune1\20181017.qgt

[File Description]


[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	4500
Start Time(min)	1.000
End Time(min)	15.997
Ret.Time	Absolute Intensity	Relative Intensity
3.763	947108	1.40
3.767	939108	1.39
3.770	932473	1.38
3.773	925010	1.37
3.777	917904	1.36
3.780	912202	1.35
3.783	908503	1.35
3.787	906846	1.34
3.790	905735	1.34
3.793	902437	1.34
3.797	897830	1.33
3.800	892330	1.32
3.803	887879	1.31
3.807	883074	1.31
3.810	877887	1.30
3.813	876383	1.30
3.817	876507	1.30
3.820	876706	1.30
3.823	876414	1.30
3.827	876179	1.30
3.830	875520	1.30
3.833	872905	1.29
3.837	871902	1.29
3.840	874044	1.29
3.843	876673	1.30
3.847	876255	1.30
3.850	872712	1.29
3.853	869771	1.29
3.857	865591	1.28
3.860	857486	1.27
3.863	849555	1.26
3.867	842886	1.25
3.870	837362	1.24
3.873	833718	1.23
3.877	830021	1.23
3.880	825424	1.22
3.883	819978	1.21
3.887	817395	1.21
3.890	817770	1.21
3.893	817552	1.21
3.897	813977	1.21
3.900	811653	1.20
3.903	810971	1.20
3.907	809838	1.20
3.910	807736	1.20
3.913	804786	1.19
3.917	803004	1.19
3.920	801791	1.19
3.923	800859	1.19
3.927	800524	1.19
3.930	797745	1.18
3.933	794636	1.18
3.937	791510	1.17
3.940	788952	1.17
3.943	786271	1.16
3.947	782070	1.16
3.950	779481	1.15
3.953	785081	1.16
3.957	812197	1.20
3.960	892810	1.32
3.963	1069328	1.58
3.967	1353504	2.00
3.970	1694678	2.51
3.973	2024272	3.00
3.977	2285171	3.38
3.980	2426209	3.59
3.983	2437856	3.61
3.987	2357385	3.49
3.990	2226317	3.30
3.993	2070739	3.07
3.997	1904531	2.82
4.000	1742169	2.58
4.003	1595787	2.36
4.007	1470284	2.18
4.010	1369714	2.03
4.013	1296239	1.92
4.017	1245309	1.84
4.020	1218714	1.80
4.023	1226204	1.82
4.027	1272554	1.88
4.030	1363269	2.02
4.033	1499049	2.22
4.037	1654374	2.45
4.040	1790628	2.65
4.043	1883105	2.79
4.047	1919163	2.84
4.050	1893396	2.80
4.053	1814565	2.69
4.057	1709647	2.53
4.060	1600108	2.37
4.063	1493071	2.21
4.067	1395616	2.07
4.070	1304580	1.93
4.073	1219307	1.81
4.077	1149964	1.70
4.080	1093394	1.62
4.083	1045598	1.55
4.087	1006735	1.49
4.090	975994	1.45
4.093	954579	1.41
4.097	937418	1.39
4.100	917518	1.36
