Ret.Time	Absolute Intensity	Relative Intensity
2.010	450373	9.93
2.013	450369	9.93
2.017	450518	9.93
2.020	450977	9.94
2.023	452642	9.98
2.027	453082	9.99
2.030	453197	9.99
2.033	452427	9.97
2.037	450128	9.92
2.040	450688	9.93
2.043	453144	9.99
2.047	452715	9.98
2.050	446076	9.83
2.053	431566	9.51
2.057	408731	9.01
2.060	379187	8.36
2.063	345202	7.61
2.067	310185	6.84
2.070	277581	6.12
2.073	247630	5.46
2.077	220395	4.86
2.080	197446	4.35
2.083	176634	3.89
2.087	157276	3.47
2.090	140200	3.09
2.093	124546	2.75
2.097	110643	2.44
2.100	98241	2.17
2.103	86791	1.91
2.107	75877	1.67
2.110	67039	1.48
2.113	60117	1.33
2.117	54174	1.19
2.120	49190	1.08
2.123	44135	0.97
2.127	40164	0.89
2.130	38249	0.84
2.133	37130	0.82
2.137	36601	0.81
2.140	36747	0.81
2.143	37887	0.84
2.147	38639	0.85
2.150	38814	0.86
2.153	38237	0.84
2.157	37137	0.82
2.160	36559	0.81
2.163	36451	0.80
2.167	37699	0.83
2.170	41841	0.92
2.173	49340	1.09
2.177	58749	1.29
2.180	65212	1.44
2.183	67362	1.48
2.187	65800	1.45
2.190	60082	1.32
2.193	54016	1.19
2.197	49175	1.08
2.200	44869	0.99
2.203	41429	0.91
2.207	38127	0.84
2.210	36347	0.80
2.213	34492	0.76
2.217	33284	0.73
2.220	32191	0.71
2.223	31785	0.70
2.227	31291	0.69
2.230	30326	0.67
2.233	30098	0.66
2.237	29512	0.65
2.240	28807	0.63
2.243	28820	0.64
2.247	28972	0.64
2.250	28741	0.63
2.253	28726	0.63
2.257	28828	0.64
2.260	28835	0.64
2.263	28783	0.63
2.267	28568	0.63
2.270	28263	0.62
2.273	27642	0.61
2.277	26240	0.58
2.280	25403	0.56
2.283	25171	0.55
2.287	25163	0.55
2.290	25186	0.56
2.293	24992	0.55
2.297	24932	0.55
2.300	24896	0.55
2.303	24707	0.54
2.307	24771	0.55
2.310	24854	0.55
2.313	24543	0.54
2.317	23972	0.53
2.320	24138	0.53
2.323	24294	0.54
2.327	24544	0.54
2.330	24958	0.55
2.333	24930	0.55
2.337	24511	0.54
2.340	24129	0.53
2.343	23761	0.52
2.347	23276	0.51
2.350	22843	0.50
2.353	22812	0.50
2.357	23301	0.51
2.360	23691	0.52
2.363	23949	0.53
2.367	23896	0.53
2.370	23011	0.51
2.373	22851	0.50
2.377	22864	0.50
2.380	22962	0.51
2.383	23560	0.52
2.387	23545	0.52
2.390	23757	0.52
2.393	23970	0.53
2.397	23451	0.52
2.400	23237	0.51
2.403	23352	0.51
2.407	23418	0.52
2.410	23319	0.51
2.413	23069	0.51
2.417	22952	0.51
2.420	23026	0.51
2.423	23007	0.51
2.427	22900	0.50
2.430	22955	0.51
2.433	22877	0.50
2.437	22831	0.50
2.440	22919	0.51
2.443	22808	0.50
2.447	22805	0.50
2.450	22930	0.51
2.453	22844	0.50
2.457	22586	0.50
2.460	22495	0.50
2.463	22636	0.50
2.467	22876	0.50
2.470	22968	0.51
2.473	23115	0.51
2.477	23493	0.52
2.480	23885	0.53
2.483	24275	0.54
2.487	25297	0.56
2.490	26067	0.57
2.493	26210	0.58
2.497	26313	0.58
2.500	26650	0.59
2.503	27190	0.60
2.507	28018	0.62
2.510	28539	0.63
2.513	29068	0.64
2.517	30495	0.67
2.520	32245	0.71
2.523	32893	0.72
2.527	32910	0.73
2.530	32098	0.71
2.533	29874	0.66
2.537	28663	0.63
2.540	28412	0.63
2.543	28482	0.63
2.547	28521	0.63
2.550	28351	0.62
2.553	27618	0.61
2.557	26335	0.58
2.560	25886	0.57
2.563	25813	0.57
2.567	25797	0.57
2.570	25920	0.57
2.573	25880	0.57
2.577	25862	0.57
2.580	25953	0.57
2.583	26004	0.57
2.587	26153	0.58
2.590	26284	0.58
2.593	26162	0.58
2.597	25782	0.57
2.600	25405	0.56
2.603	25585	0.56
2.607	25552	0.56
2.610	25173	0.55
2.613	25289	0.56
2.617	25686	0.57
2.620	25733	0.57
2.623	25608	0.56
2.627	25176	0.55
2.630	25157	0.55
2.633	24870	0.55
2.637	24499	0.54
2.640	24816	0.55
2.643	24924	0.55
2.647	24930	0.55
2.650	25058	0.55
2.653	25124	0.55
2.657	24940	0.55
2.660	24874	0.55
2.663	24855	0.55
2.667	24895	0.55
2.670	24909	0.55
2.673	24466	0.54
2.677	24123	0.53
2.680	24159	0.53
2.683	24008	0.53
2.687	23991	0.53
2.690	24005	0.53
2.693	24183	0.53
2.697	24200	0.53
2.700	23974	0.53
2.703	23897	0.53
2.707	23713	0.52
2.710	23920	0.53
2.713	24377	0.54
2.717	24621	0.54
2.720	24525	0.54
2.723	24560	0.54
2.727	24661	0.54
2.730	24479	0.54
2.733	24357	0.54
2.737	24430	0.54
2.740	24010	0.53
2.743	23341	0.51
2.747	23494	0.52
2.750	23560	0.52
2.753	22987	0.51
2.757	22416	0.49
2.760	22189	0.49
2.763	22447	0.49
2.767	23144	0.51
2.770	22973	0.51
2.773	22150	0.49
2.777	22140	0.49
2.780	22959	0.51
2.783	23974	0.53
2.787	24015	0.53
2.790	24224	0.53
2.793	24468	0.54
2.797	24765	0.55
2.800	24915	0.55
2.803	24616	0.54
2.807	24286	0.54
2.810	24267	0.53
2.813	24098	0.53
2.817	23953	0.53
2.820	23860	0.53
2.823	23646	0.52
2.827	23386	0.52
2.830	23107	0.51
2.833	22899	0.50
2.837	22811	0.50
2.840	22695	0.50
2.843	22713	0.50
2.847	22492	0.50
2.850	22275	0.49
2.853	22264	0.49
2.857	22299	0.49
2.860	22363	0.49
2.863	22414	0.49
2.867	22403	0.49
2.870	22211	0.49
2.873	22371	0.49
2.877	22413	0.49
2.880	22724	0.50
2.883	23337	0.51
2.887	23462	0.52
2.890	23239	0.51
2.893	23483	0.52
2.897	23740	0.52
2.900	23188	0.51
2.903	22613	0.50
2.907	22907	0.50
2.910	23142	0.51
2.913	22679	0.50
2.917	22297	0.49
2.920	22309	0.49
2.923	22238	0.49
2.927	22570	0.50
2.930	23547	0.52
2.933	24205	0.53
2.937	24582	0.54
2.940	24769	0.55
2.943	24398	0.54
2.947	23400	0.52
2.950	23052	0.51
2.953	23456	0.52
2.957	23849	0.53
2.960	24093	0.53
2.963	24956	0.55
2.967	27319	0.60
2.970	29470	0.65
2.973	32339	0.71
2.977	37156	0.82
2.980	43919	0.97
2.983	54157	1.19
2.987	69303	1.53
2.990	85213	1.88
2.993	92523	2.04
2.997	89094	1.96
3.000	79978	1.76
3.003	69321	1.53
3.007	61076	1.35
3.010	54736	1.21
3.013	50202	1.11
3.017	47322	1.04
3.020	44830	0.99
3.023	42194	0.93
3.027	40273	0.89
3.030	39905	0.88
3.033	39849	0.88
3.037	39463	0.87
3.040	38280	0.84
3.043	37680	0.83
3.047	37092	0.82
3.050	35984	0.79
3.053	34461	0.76
3.057	32274	0.71
3.060	31300	0.69
3.063	30479	0.67
3.067	29772	0.66
3.070	28772	0.63
3.073	27926	0.62
3.077	27779	0.61
3.080	27852	0.61
3.083	27327	0.60
3.087	26483	0.58
3.090	26266	0.58
3.093	26392	0.58
3.097	26339	0.58
3.100	26701	0.59
3.103	28672	0.63
3.107	31903	0.70
3.110	35900	0.79
3.113	40989	0.90
3.117	45363	1.00
3.120	47452	1.05
3.123	47244	1.04
3.127	45114	0.99
3.130	41416	0.91
3.133	38228	0.84
3.137	35470	0.78
3.140	32176	0.71
3.143	30149	0.66
3.147	28996	0.64
3.150	27608	0.61
3.153	26765	0.59
3.157	26981	0.59
3.160	27030	0.60
3.163	26122	0.58
3.167	25813	0.57
3.170	26131	0.58
3.173	26026	0.57
3.177	25524	0.56
3.180	25392	0.56
3.183	25229	0.56
3.187	25136	0.55
3.190	25170	0.55
3.193	25272	0.56
3.197	25252	0.56
3.200	25146	0.55
3.203	25151	0.55
3.207	25209	0.56
3.210	25317	0.56
3.213	25598	0.56
3.217	25983	0.57
3.220	25746	0.57
3.223	25400	0.56
3.227	25369	0.56
3.230	25295	0.56
3.233	25219	0.56
3.237	25304	0.56
3.240	25421	0.56
3.243	25602	0.56
3.247	25971	0.57
3.250	25888	0.57
3.253	25457	0.56
3.257	25436	0.56
3.260	25648	0.57
3.263	25889	0.57
3.267	27051	0.60
3.270	29106	0.64
3.273	30248	0.67
3.277	30807	0.68
3.280	32903	0.73
3.283	40660	0.90
3.287	52349	1.15
3.290	58710	1.29
3.293	58840	1.30
3.297	58431	1.29
3.300	55945	1.23
3.303	53090	1.17
3.307	51928	1.14
3.310	51224	1.13
3.313	49283	1.09
3.317	47069	1.04
3.320	45934	1.01
3.323	44694	0.99
3.327	42299	0.93
3.330	40105	0.88
3.333	39179	0.86
3.337	37428	0.82
3.340	35860	0.79
3.343	35352	0.78
3.347	35393	0.78
3.350	35305	0.78
3.353	35511	0.78
3.357	36194	0.80
3.360	36819	0.81
3.363	36742	0.81
3.367	36121	0.80
3.370	35194	0.78
3.373	32652	0.72
3.377	31994	0.71
3.380	31664	0.70
3.383	30847	0.68
3.387	29547	0.65
3.390	28969	0.64
3.393	28658	0.63
3.397	28467	0.63
3.400	28657	0.63
3.403	28393	0.63
3.407	27401	0.60
3.410	26515	0.58
3.413	26209	0.58
3.417	26385	0.58
3.420	26527	0.58
3.423	26451	0.58
3.427	26293	0.58
3.430	26137	0.58
3.433	26017	0.57
3.437	25980	0.57
3.440	26067	0.57
3.443	26418	0.58
3.447	26357	0.58
3.450	25996	0.57
3.453	25896	0.57
3.457	26048	0.57
3.460	26055	0.57
3.463	26181	0.58
3.467	27308	0.60
3.470	30016	0.66
3.473	34630	0.76
3.477	42823	0.94
3.480	53863	1.19
3.483	64741	1.43
3.487	73396	1.62
3.490	76467	1.69
3.493	73404	1.62
3.497	66920	1.47
3.500	59227	1.31
3.503	51221	1.13
3.507	44371	0.98
3.510	39577	0.87
3.513	36545	0.81
3.517	34418	0.76
3.520	32700	0.72
3.523	31859	0.70
3.527	30782	0.68
3.530	30393	0.67
3.533	30192	0.67
3.537	29967	0.66
3.540	28196	0.62
3.543	27324	0.60
3.547	27329	0.60
3.550	27594	0.61
3.553	27533	0.61
3.557	27380	0.60
3.560	27301	0.60
3.563	27291	0.60
3.567	26997	0.60
3.570	27074	0.60
3.573	26949	0.59
3.577	26635	0.59
3.580	26548	0.59
3.583	26143	0.58
3.587	25630	0.56
3.590	25546	0.56
3.593	25585	0.56
3.597	25691	0.57
3.600	25818	0.57
3.603	25659	0.57
3.607	25593	0.56
3.610	25515	0.56
3.613	25375	0.56
3.617	25389	0.56
3.620	25385	0.56
3.623	25484	0.56
3.627	25397	0.56
3.630	25299	0.56
3.633	25258	0.56
3.637	25279	0.56
3.640	25249	0.56
3.643	25209	0.56
3.647	25312	0.56
3.650	25204	0.56
3.653	25296	0.56
3.657	25324	0.56
3.660	25130	0.55
3.663	24778	0.55
3.667	24818	0.55
3.670	25089	0.55
3.673	25266	0.56
3.677	25269	0.56
3.680	25253	0.56
3.683	25215	0.56
3.687	25213	0.56
3.690	25371	0.56
3.693	25488	0.56
3.697	25402	0.56
3.700	25264	0.56
3.703	25269	0.56
3.707	25235	0.56
3.710	24972	0.55
3.713	25014	0.55
3.717	24922	0.55
3.720	24442	0.54
3.723	24379	0.54
3.727	24548	0.54
3.730	24568	0.54
3.733	24717	0.54
3.737	24626	0.54
3.740	24628	0.54
3.743	24670	0.54
3.747	24553	0.54
3.750	24613	0.54
3.753	24527	0.54
3.757	24155	0.53
3.760	23861	0.53
3.763	23835	0.53
3.767	23883	0.53
3.770	23870	0.53
3.773	23694	0.52
3.777	23593	0.52
3.780	23716	0.52
3.783	23585	0.52
3.787	23641	0.52
3.790	24026	0.53
3.793	24298	0.54
3.797	24445	0.54
3.800	24326	0.54
3.803	23930	0.53
3.807	24007	0.53
3.810	24258	0.53
3.813	24063	0.53
3.817	24030	0.53
3.820	24289	0.54
3.823	24267	0.53
3.827	24195	0.53
3.830	24234	0.53
3.833	24072	0.53
3.837	23899	0.53
3.840	24003	0.53
3.843	24087	0.53
3.847	24122	0.53
3.850	24226	0.53
3.853	24158	0.53
3.857	23994	0.53
3.860	23885	0.53
3.863	23894	0.53
3.867	23833	0.53
3.870	23970	0.53
3.873	24181	0.53
3.877	24213	0.53
3.880	24103	0.53
3.883	23876	0.53
3.887	23810	0.52
3.890	23972	0.53
3.893	24054	0.53
3.897	24223	0.53
3.900	24562	0.54
3.903	24801	0.55
3.907	25501	0.56
3.910	26279	0.58
3.913	27207	0.60
3.917	28988	0.64
3.920	30856	0.68
3.923	35066	0.77
3.927	41663	0.92
3.930	49171	1.08
